text,true_label,predicted_label,phishing_probability
"Your travel reimbursement is pending. Confirm your employee portal details at http://account-billing-check.example-auth.com/login today. Do not ignore this final warning. For your safety, verify immediately.",phishing,phishing,1.0
"A shared document has been quarantined. Review and release it using your credentials at http://198.51.100.24/update. For your safety, verify immediately. Your account may be locked. Dear user, click here to continue.",phishing,phishing,1.0
"A shared document has been quarantined. Review and release it using your credentials at http://account-billing-check.example-auth.com/login. For your safety, verify immediately. Do not ignore this final warning. Your account may be locked.",phishing,phishing,1.0
"Benefits enrollment closes today. Verify your employee information at http://198.51.100.24/update to avoid losing access. Dear user, click here to continue.",phishing,phishing,1.0
The library has added new digital resources for Secure Systems. Access them through the normal portal. Use the official portal as usual.,legitimate,legitimate,0.01
The IT team will perform routine maintenance on the student records system system this Friday. Expect a short service window. This message is for planning purposes only. Contact the instructor if you have questions.,legitimate,legitimate,0.0
Your travel request for Heraklion has been approved. Please keep receipts for reimbursement processing. No immediate action is needed.,legitimate,legitimate,0.0
The library has added new digital resources for Machine Learning. Access them through the normal portal. Contact the instructor if you have questions.,legitimate,legitimate,0.0
"Hello, here is the updated document we mentioned after class. It is also available through the normal course workspace.",legitimate,legitimate,0.01
Your HR portal account requires verification today. Please confirm your login details at http://rb.gy/checkaccess to avoid interruption. Failure to comply may result in account suspension. This is urgent and action is required today. Do not ignore this final warning.,phishing,phishing,1.0
"Benefits enrollment closes today. Verify your employee information at http://paypa1-security.example.net/confirm to avoid losing access. For your safety, verify immediately. This is urgent and action is required today. Failure to comply may result in account suspension.",phishing,phishing,1.0
"Hello team, the weekly meeting is scheduled for Monday at 10:30. Agenda and notes are attached. No immediate action is needed. Use the official portal as usual.",legitimate,legitimate,0.0
"Hello team, the weekly meeting is scheduled for Tuesday at 12:00. Agenda and notes are attached. The information is also available in the course workspace. Use the official portal as usual.",legitimate,legitimate,0.0
The IT team will perform routine maintenance on the document repository system this Thursday. Expect a short service window. No immediate action is needed. Use the official portal as usual.,legitimate,legitimate,0.05
"Hello team, the weekly meeting is scheduled for Monday at 12:00. Agenda and notes are attached. The information is also available in the course workspace. No immediate action is needed.",legitimate,legitimate,0.0
A new invoice is waiting for approval. Sign in at http://account-billing-check.example-auth.com/login to review the document now. Failure to comply may result in account suspension.,phishing,phishing,0.99
"Hello team, the weekly meeting is scheduled for Wednesday at 16:00. Agenda and notes are attached. The information is also available in the course workspace.",legitimate,legitimate,0.0
The IT team will perform routine maintenance on the research cloud system this Tuesday. Expect a short service window. No immediate action is needed.,legitimate,legitimate,0.0
"Your travel reimbursement is pending. Confirm your employee portal details at http://198.51.100.24/update today. This is urgent and action is required today. For your safety, verify immediately.",phishing,phishing,0.99
The reimbursement spreadsheet is ready. Open the secure link and confirm your staff details before processing can continue.,phishing,legitimate,0.41
"Please review the payroll update form before 5 PM today and confirm your bank information at http://rb.gy/checkaccess. Dear user, click here to continue. Do not ignore this final warning.",phishing,phishing,1.0
Reminder: the Secure Systems lecture starts at 12:00 in room Lab-3. Slides are posted on the learning portal. Use the official portal as usual. No immediate action is needed.,legitimate,legitimate,0.02
Your invoice #5873 has been processed. No action is required unless you have questions for finance. Contact the instructor if you have questions. This message is for planning purposes only.,legitimate,legitimate,0.0
"Your travel reimbursement is pending. Confirm your employee portal details at http://account-billing-check.example-auth.com/login today. Failure to comply may result in account suspension. Dear user, click here to continue. This is urgent and action is required today.",phishing,phishing,1.0
A new invoice is waiting for approval. Sign in at http://secure-portal-review.example-login.net/verify to review the document now. This is urgent and action is required today. Failure to comply may result in account suspension.,phishing,phishing,0.99
The IT team will perform routine maintenance on the document repository system this Tuesday. Expect a short service window. This message is for planning purposes only. Use the official portal as usual.,legitimate,legitimate,0.0
Your invoice #2834 has been processed. No action is required unless you have questions for finance. This message is for planning purposes only. Contact the instructor if you have questions.,legitimate,legitimate,0.0
Student services will extend office hours this week. Visit the help desk if you need support. Contact the instructor if you have questions. Use the official portal as usual.,legitimate,legitimate,0.0
The library has added new digital resources for Applied AI. Access them through the normal portal. Use the official portal as usual.,legitimate,legitimate,0.0
"Your digital library access will be suspended unless you confirm your institutional credentials at http://198.51.100.24/update. Dear user, click here to continue.",phishing,phishing,1.0
"A package could not be delivered. Confirm your delivery address and phone number at http://198.51.100.24/update. Dear user, click here to continue.",phishing,phishing,1.0
The lab timetable has changed. Please see the updated calendar on the class page. Use the official portal as usual. No immediate action is needed.,legitimate,legitimate,0.02
Your invoice #8675 has been processed. No action is required unless you have questions for finance. This message is for planning purposes only. Use the official portal as usual.,legitimate,legitimate,0.0
"Your network password expires within 4 hours. Reset it immediately using http://rb.gy/checkaccess. Your account may be locked. For your safety, verify immediately. Dear user, click here to continue.",phishing,phishing,1.0
"Hello team, the weekly meeting is scheduled for Friday at 12:00. Agenda and notes are attached. Use the official portal as usual. This message is for planning purposes only.",legitimate,legitimate,0.0
Your travel request for Patras has been approved. Please keep receipts for reimbursement processing. Use the official portal as usual. This message is for planning purposes only.,legitimate,legitimate,0.03
"Your university portal mailbox is over quota. Verify your account immediately at http://account-billing-check.example-auth.com/login to keep access. For your safety, verify immediately. Dear user, click here to continue. Your account may be locked.",phishing,phishing,1.0
Student services will extend office hours this week. Visit the help desk if you need support. The information is also available in the course workspace.,legitimate,legitimate,0.0
"Your HR portal mailbox is over quota. Verify your account immediately at http://secure-portal-review.example-login.net/verify to keep access. For your safety, verify immediately. Your account may be locked.",phishing,phishing,1.0
Your invoice #4499 has been processed. No action is required unless you have questions for finance. This message is for planning purposes only. No immediate action is needed.,legitimate,legitimate,0.01
"A new invoice is waiting for approval. Sign in at http://198.51.100.24/update to review the document now. Failure to comply may result in account suspension. Do not ignore this final warning. For your safety, verify immediately.",phishing,phishing,1.0
The IT team will perform routine maintenance on the student records system system this Thursday. Expect a short service window. Contact the instructor if you have questions.,legitimate,legitimate,0.0
Your travel reimbursement is pending. Confirm your employee portal details at http://paypa1-security.example.net/confirm today. Your account may be locked.,phishing,phishing,1.0
"A package could not be delivered. Confirm your delivery address and phone number at http://account-billing-check.example-auth.com/login. This is urgent and action is required today. For your safety, verify immediately. Do not ignore this final warning.",phishing,phishing,1.0
"A new invoice is waiting for approval. Sign in at http://account-billing-check.example-auth.com/login to review the document now. Dear user, click here to continue. Failure to comply may result in account suspension.",phishing,phishing,0.99
Reminder: the Digital Forensics lecture starts at 14:00 in room Seminar Room 2. Slides are posted on the learning portal. This message is for planning purposes only. Use the official portal as usual.,legitimate,legitimate,0.0
"Hello team, the weekly meeting is scheduled for Tuesday at 10:30. Agenda and notes are attached. No immediate action is needed.",legitimate,legitimate,0.0
"We detected unusual activity on your research cloud account. Reset your password now at http://paypa1-security.example.net/confirm. Your account may be locked. For your safety, verify immediately. Dear user, click here to continue.",phishing,phishing,0.99
"Please review the payroll update form before 5 PM today and confirm your bank information at http://198.51.100.24/update. Do not ignore this final warning. Dear user, click here to continue. Failure to comply may result in account suspension.",phishing,phishing,1.0
A shared document has been quarantined. Review and release it using your credentials at http://paypa1-security.example.net/confirm. Failure to comply may result in account suspension.,phishing,phishing,1.0
Your travel reimbursement is pending. Confirm your employee portal details at http://198.51.100.24/update today. This is urgent and action is required today.,phishing,phishing,1.0
"Hello team, the weekly meeting is scheduled for Friday at 16:00. Agenda and notes are attached. The information is also available in the course workspace. This message is for planning purposes only.",legitimate,legitimate,0.0
"A new invoice is waiting for approval. Sign in at http://secure-portal-review.example-login.net/verify to review the document now. Your account may be locked. Do not ignore this final warning. For your safety, verify immediately.",phishing,phishing,0.99
"Hello team, the weekly meeting is scheduled for Monday at 12:00. Agenda and notes are attached. No immediate action is needed. Use the official portal as usual.",legitimate,legitimate,0.01
Your digital library access will be suspended unless you confirm your institutional credentials at http://198.51.100.24/update. Failure to comply may result in account suspension. Do not ignore this final warning.,phishing,phishing,0.98
You are invited to the research seminar on privacy engineering this Thursday at 14:00. The information is also available in the course workspace.,legitimate,legitimate,0.0
Your travel request for Athens has been approved. Please keep receipts for reimbursement processing. No immediate action is needed.,legitimate,legitimate,0.0
"A shared document has been quarantined. Review and release it using your credentials at http://secure-portal-review.example-login.net/verify. For your safety, verify immediately. Your account may be locked.",phishing,phishing,1.0
The lab timetable has changed. Please see the updated calendar on the class page. Use the official portal as usual.,legitimate,legitimate,0.0
The IT team will perform routine maintenance on the HR portal system this Wednesday. Expect a short service window. Contact the instructor if you have questions.,legitimate,legitimate,0.0
Your invoice #3323 has been processed. No action is required unless you have questions for finance. Contact the instructor if you have questions.,legitimate,legitimate,0.0
Reminder: the Applied AI lecture starts at 14:00 in room Seminar Room 2. Slides are posted on the learning portal. The information is also available in the course workspace.,legitimate,legitimate,0.0
Your mailbox account requires verification today. Please confirm your login details at http://rb.gy/checkaccess to avoid interruption. This is urgent and action is required today.,phishing,phishing,1.0
Student services will extend office hours this week. Visit the help desk if you need support. The information is also available in the course workspace. Use the official portal as usual.,legitimate,legitimate,0.0
Library Services shared a document with you in the official workspace. Open it from the standard team portal. Contact the instructor if you have questions. Use the official portal as usual.,legitimate,legitimate,0.0
Reminder: the Cybersecurity Analytics lecture starts at 10:30 in room Lab-3. Slides are posted on the learning portal. The information is also available in the course workspace.,legitimate,legitimate,0.0
The IT team will perform routine maintenance on the research cloud system this Wednesday. Expect a short service window. Use the official portal as usual. Contact the instructor if you have questions.,legitimate,legitimate,0.0
"Your research cloud account requires verification today. Please confirm your login details at http://rb.gy/checkaccess to avoid interruption. Dear user, click here to continue.",phishing,phishing,0.99
Your travel request for Heraklion has been approved. Please keep receipts for reimbursement processing. Use the official portal as usual.,legitimate,legitimate,0.0
Good afternoon. The portal migration is nearly complete. Please re-enter your institutional credentials at http://203.0.113.10/portal so your account remains synced.,phishing,phishing,0.68
"A shared document has been quarantined. Review and release it using your credentials at http://account-billing-check.example-auth.com/login. This is urgent and action is required today. Failure to comply may result in account suspension. For your safety, verify immediately.",phishing,phishing,1.0
The executive meeting schedule changed. Open the secure document at http://secure-portal-review.example-login.net/verify and sign in to acknowledge receipt. This is urgent and action is required today.,phishing,phishing,1.0
"A shared document has been quarantined. Review and release it using your credentials at http://account-billing-check.example-auth.com/login. For your safety, verify immediately. Failure to comply may result in account suspension. Dear user, click here to continue.",phishing,phishing,1.0
A new invoice is waiting for approval. Sign in at http://paypa1-security.example.net/confirm to review the document now. This is urgent and action is required today.,phishing,phishing,1.0
The lab timetable has changed. Please see the updated calendar on the class page. Contact the instructor if you have questions. Use the official portal as usual.,legitimate,legitimate,0.0
"Hello team, the weekly meeting is scheduled for Tuesday at 14:00. Agenda and notes are attached. No immediate action is needed.",legitimate,legitimate,0.0
"A new invoice is waiting for approval. Sign in at http://paypa1-security.example.net/confirm to review the document now. Dear user, click here to continue.",phishing,phishing,0.99
"A package could not be delivered. Confirm your delivery address and phone number at http://paypa1-security.example.net/confirm. Your account may be locked. Failure to comply may result in account suspension. For your safety, verify immediately.",phishing,phishing,1.0
Your digital library access will be suspended unless you confirm your institutional credentials at http://secure-portal-review.example-login.net/verify. Do not ignore this final warning.,phishing,phishing,1.0
Your travel request for Patras has been approved. Please keep receipts for reimbursement processing. This message is for planning purposes only.,legitimate,legitimate,0.0
The lab timetable has changed. Please see the updated calendar on the class page. This message is for planning purposes only. No immediate action is needed.,legitimate,legitimate,0.0
The IT team will perform routine maintenance on the student records system system this Friday. Expect a short service window. Contact the instructor if you have questions. No immediate action is needed.,legitimate,legitimate,0.0
Your invoice #4829 has been processed. No action is required unless you have questions for finance. Use the official portal as usual. The information is also available in the course workspace.,legitimate,legitimate,0.01
Reminder: the Cybersecurity Analytics lecture starts at 09:00 in room Lab-3. Slides are posted on the learning portal. Use the official portal as usual. No immediate action is needed.,legitimate,legitimate,0.01
A package could not be delivered. Confirm your delivery address and phone number at http://198.51.100.24/update. Failure to comply may result in account suspension. Your account may be locked. This is urgent and action is required today.,phishing,phishing,1.0
Your invoice #6684 has been processed. No action is required unless you have questions for finance. No immediate action is needed. This message is for planning purposes only.,legitimate,legitimate,0.0
"Benefits enrollment closes today. Verify your employee information at http://rb.gy/checkaccess to avoid losing access. Dear user, click here to continue. This is urgent and action is required today.",phishing,phishing,0.99
Benefits enrollment closes today. Verify your employee information at http://198.51.100.24/update to avoid losing access. Do not ignore this final warning. Your account may be locked. Failure to comply may result in account suspension.,phishing,phishing,1.0
Your invoice #5916 has been processed. No action is required unless you have questions for finance. Contact the instructor if you have questions.,legitimate,legitimate,0.0
Your invoice #9743 has been processed. No action is required unless you have questions for finance. The information is also available in the course workspace. Use the official portal as usual.,legitimate,legitimate,0.0
"A new invoice is waiting for approval. Sign in at http://secure-portal-review.example-login.net/verify to review the document now. Dear user, click here to continue. For your safety, verify immediately. This is urgent and action is required today.",phishing,phishing,1.0
The library has added new digital resources for Secure Systems. Access them through the normal portal. This message is for planning purposes only. Use the official portal as usual.,legitimate,legitimate,0.02
"Benefits enrollment closes today. Verify your employee information at http://secure-portal-review.example-login.net/verify to avoid losing access. Dear user, click here to continue. This is urgent and action is required today. Your account may be locked.",phishing,phishing,0.99
A package could not be delivered. Confirm your delivery address and phone number at http://rb.gy/checkaccess. Your account may be locked.,phishing,phishing,1.0
The lab timetable has changed. Please see the updated calendar on the class page. This message is for planning purposes only. The information is also available in the course workspace.,legitimate,legitimate,0.0
Benefits enrollment closes today. Verify your employee information at http://198.51.100.24/update to avoid losing access. Your account may be locked.,phishing,phishing,1.0
The IT team will perform routine maintenance on the student records system system this Monday. Expect a short service window. This message is for planning purposes only. The information is also available in the course workspace.,legitimate,legitimate,0.0
"Benefits enrollment closes today. Verify your employee information at http://account-billing-check.example-auth.com/login to avoid losing access. For your safety, verify immediately. Your account may be locked. Do not ignore this final warning.",phishing,phishing,1.0
Student services will extend office hours this week. Visit the help desk if you need support. No immediate action is needed. The information is also available in the course workspace.,legitimate,legitimate,0.0
The research repository maintenance window starts tonight. No user action is required.,legitimate,legitimate,0.15
The library has added new digital resources for Secure Systems. Access them through the normal portal. The information is also available in the course workspace.,legitimate,legitimate,0.0
"Your research cloud mailbox is over quota. Verify your account immediately at http://rb.gy/checkaccess to keep access. Do not ignore this final warning. Dear user, click here to continue.",phishing,phishing,1.0
Your digital library access will be suspended unless you confirm your institutional credentials at http://rb.gy/checkaccess. This is urgent and action is required today.,phishing,phishing,0.99
Benefits enrollment closes today. Verify your employee information at http://198.51.100.24/update to avoid losing access. This is urgent and action is required today.,phishing,phishing,1.0
Your network password expires within 4 hours. Reset it immediately using http://198.51.100.24/update. Do not ignore this final warning.,phishing,phishing,0.99
The lab timetable has changed. Please see the updated calendar on the class page. The information is also available in the course workspace.,legitimate,legitimate,0.0
Course Coordinator shared a document with you in the official workspace. Open it from the standard team portal. This message is for planning purposes only.,legitimate,legitimate,0.0
"Your network password expires within 4 hours. Reset it immediately using http://198.51.100.24/update. Failure to comply may result in account suspension. For your safety, verify immediately.",phishing,phishing,1.0
Your travel request for Heraklion has been approved. Please keep receipts for reimbursement processing. Use the official portal as usual. This message is for planning purposes only.,legitimate,legitimate,0.02
The IT team will perform routine maintenance on the student records system system this Friday. Expect a short service window. This message is for planning purposes only. The information is also available in the course workspace.,legitimate,legitimate,0.0
Library Services shared a document with you in the official workspace. Open it from the standard team portal. Use the official portal as usual. No immediate action is needed.,legitimate,legitimate,0.0
"Your travel reimbursement is pending. Confirm your employee portal details at http://paypa1-security.example.net/confirm today. This is urgent and action is required today. For your safety, verify immediately.",phishing,phishing,1.0
"Your travel reimbursement is pending. Confirm your employee portal details at http://198.51.100.24/update today. Do not ignore this final warning. Dear user, click here to continue. This is urgent and action is required today.",phishing,phishing,0.99
"We detected unusual activity on your HR portal account. Reset your password now at http://account-billing-check.example-auth.com/login. Dear user, click here to continue. Do not ignore this final warning.",phishing,phishing,0.99
Student services will extend office hours this week. Visit the help desk if you need support. Use the official portal as usual. Contact the instructor if you have questions.,legitimate,legitimate,0.0
"A package could not be delivered. Confirm your delivery address and phone number at http://rb.gy/checkaccess. Failure to comply may result in account suspension. Dear user, click here to continue. Do not ignore this final warning.",phishing,phishing,1.0
Reminder: the Digital Forensics lecture starts at 16:00 in room B05. Slides are posted on the learning portal. Contact the instructor if you have questions. This message is for planning purposes only.,legitimate,legitimate,0.0
"Please review the payroll update form before 5 PM today and confirm your bank information at http://198.51.100.24/update. Dear user, click here to continue.",phishing,phishing,1.0
"Your travel reimbursement is pending. Confirm your employee portal details at http://paypa1-security.example.net/confirm today. Your account may be locked. Failure to comply may result in account suspension. Dear user, click here to continue.",phishing,phishing,1.0
"We detected unusual activity on your research cloud account. Reset your password now at http://rb.gy/checkaccess. For your safety, verify immediately. Do not ignore this final warning.",phishing,phishing,1.0
"Benefits enrollment closes today. Verify your employee information at http://account-billing-check.example-auth.com/login to avoid losing access. This is urgent and action is required today. For your safety, verify immediately.",phishing,phishing,1.0
"Your document repository account requires verification today. Please confirm your login details at http://rb.gy/checkaccess to avoid interruption. Do not ignore this final warning. For your safety, verify immediately.",phishing,phishing,0.98
Dr. Pappas shared a document with you in the official workspace. Open it from the standard team portal. No immediate action is needed.,legitimate,legitimate,0.0
"Your digital library access will be suspended unless you confirm your institutional credentials at http://account-billing-check.example-auth.com/login. Dear user, click here to continue.",phishing,phishing,0.99
"Hello team, the weekly meeting is scheduled for Thursday at 10:30. Agenda and notes are attached. Contact the instructor if you have questions. This message is for planning purposes only.",legitimate,legitimate,0.0
Your digital library access will be suspended unless you confirm your institutional credentials at http://paypa1-security.example.net/confirm. Your account may be locked. Do not ignore this final warning. Failure to comply may result in account suspension.,phishing,phishing,1.0
We noticed an authentication mismatch in your mailbox. Use the validation page below to prevent service disruption.,phishing,legitimate,0.41
A shared document has been quarantined. Review and release it using your credentials at http://198.51.100.24/update. Your account may be locked. Do not ignore this final warning. This is urgent and action is required today.,phishing,phishing,0.99
IT Support shared a document with you in the official workspace. Open it from the standard team portal. This message is for planning purposes only.,legitimate,legitimate,0.0
"Your travel reimbursement is pending. Confirm your employee portal details at http://secure-portal-review.example-login.net/verify today. Do not ignore this final warning. Your account may be locked. For your safety, verify immediately.",phishing,phishing,1.0
Reminder: the Machine Learning lecture starts at 09:00 in room Lab-3. Slides are posted on the learning portal. This message is for planning purposes only. Use the official portal as usual.,legitimate,legitimate,0.0
Please review the payroll update form before 5 PM today and confirm your bank information at http://account-billing-check.example-auth.com/login. Do not ignore this final warning.,phishing,phishing,1.0
You are invited to the research seminar on phishing defense this Friday at 14:00. This message is for planning purposes only.,legitimate,legitimate,0.01
"Your travel reimbursement is pending. Confirm your employee portal details at http://account-billing-check.example-auth.com/login today. This is urgent and action is required today. Dear user, click here to continue. Do not ignore this final warning.",phishing,phishing,0.99
"A new invoice is waiting for approval. Sign in at http://198.51.100.24/update to review the document now. Do not ignore this final warning. Dear user, click here to continue.",phishing,phishing,0.99
The library has added new digital resources for Cybersecurity Analytics. Access them through the normal portal. This message is for planning purposes only. No immediate action is needed.,legitimate,legitimate,0.01
Benefits enrollment closes today. Verify your employee information at http://secure-portal-review.example-login.net/verify to avoid losing access. This is urgent and action is required today.,phishing,phishing,1.0
The lab timetable has changed. Please see the updated calendar on the class page. This message is for planning purposes only.,legitimate,legitimate,0.0
Your travel request for Patras has been approved. Please keep receipts for reimbursement processing. Use the official portal as usual. The information is also available in the course workspace.,legitimate,legitimate,0.01
Your travel reimbursement is pending. Confirm your employee portal details at http://account-billing-check.example-auth.com/login today. Failure to comply may result in account suspension.,phishing,phishing,1.0
You are invited to the research seminar on transformer models this Thursday at 09:00. This message is for planning purposes only. Use the official portal as usual.,legitimate,legitimate,0.0
"Your HR portal account requires verification today. Please confirm your login details at http://secure-portal-review.example-login.net/verify to avoid interruption. For your safety, verify immediately.",phishing,phishing,1.0
A new invoice is waiting for approval. Sign in at http://paypa1-security.example.net/confirm to review the document now. Your account may be locked.,phishing,phishing,1.0
"Your travel reimbursement is pending. Confirm your employee portal details at http://198.51.100.24/update today. Failure to comply may result in account suspension. This is urgent and action is required today. Dear user, click here to continue.",phishing,phishing,0.99
Reminder: the Cybersecurity Analytics lecture starts at 12:00 in room Seminar Room 2. Slides are posted on the learning portal. No immediate action is needed. The information is also available in the course workspace.,legitimate,legitimate,0.0
"Hello team, the weekly meeting is scheduled for Tuesday at 16:00. Agenda and notes are attached. This message is for planning purposes only.",legitimate,legitimate,0.0
Your network password expires within 4 hours. Reset it immediately using http://rb.gy/checkaccess. Failure to comply may result in account suspension. This is urgent and action is required today.,phishing,phishing,1.0
"Your digital library access will be suspended unless you confirm your institutional credentials at http://account-billing-check.example-auth.com/login. Dear user, click here to continue. Failure to comply may result in account suspension. Do not ignore this final warning.",phishing,phishing,0.99
"A package could not be delivered. Confirm your delivery address and phone number at http://paypa1-security.example.net/confirm. Dear user, click here to continue. For your safety, verify immediately.",phishing,phishing,0.99
"We detected unusual activity on your campus VPN account. Reset your password now at http://account-billing-check.example-auth.com/login. Your account may be locked. For your safety, verify immediately.",phishing,phishing,0.99
"Hello team, the weekly meeting is scheduled for Tuesday at 10:30. Agenda and notes are attached. This message is for planning purposes only. The information is also available in the course workspace.",legitimate,legitimate,0.0
"Your document repository mailbox is over quota. Verify your account immediately at http://rb.gy/checkaccess to keep access. Dear user, click here to continue.",phishing,phishing,1.0
Please review the payroll update form before 5 PM today and confirm your bank information at http://paypa1-security.example.net/confirm. Your account may be locked. Failure to comply may result in account suspension. This is urgent and action is required today.,phishing,phishing,1.0
Library Services shared a document with you in the official workspace. Open it from the standard team portal. Use the official portal as usual. The information is also available in the course workspace.,legitimate,legitimate,0.0
"Please review the payroll update form before 5 PM today and confirm your bank information at http://paypa1-security.example.net/confirm. For your safety, verify immediately.",phishing,phishing,1.0
The library has added new digital resources for Machine Learning. Access them through the normal portal. No immediate action is needed. The information is also available in the course workspace.,legitimate,legitimate,0.0
Please review the payroll update form before 5 PM today and confirm your bank information at http://paypa1-security.example.net/confirm. Do not ignore this final warning. This is urgent and action is required today.,phishing,phishing,1.0
"Your network password expires within 4 hours. Reset it immediately using http://paypa1-security.example.net/confirm. For your safety, verify immediately.",phishing,phishing,1.0
The IT team will perform routine maintenance on the university portal system this Wednesday. Expect a short service window. Contact the instructor if you have questions.,legitimate,legitimate,0.0
"Please review the payroll update form before 5 PM today and confirm your bank information at http://paypa1-security.example.net/confirm. Your account may be locked. This is urgent and action is required today. For your safety, verify immediately.",phishing,phishing,1.0
Your invoice #2995 has been processed. No action is required unless you have questions for finance. Use the official portal as usual. Contact the instructor if you have questions.,legitimate,legitimate,0.0
"Benefits enrollment closes today. Verify your employee information at http://198.51.100.24/update to avoid losing access. Do not ignore this final warning. Your account may be locked. For your safety, verify immediately.",phishing,phishing,1.0
Student services will extend office hours this week. Visit the help desk if you need support. This message is for planning purposes only. No immediate action is needed.,legitimate,legitimate,0.0
Reminder: the Digital Forensics lecture starts at 16:00 in room Lab-3. Slides are posted on the learning portal. Contact the instructor if you have questions. Use the official portal as usual.,legitimate,legitimate,0.01
We detected unusual activity on your student records system account. Reset your password now at http://paypa1-security.example.net/confirm. Do not ignore this final warning.,phishing,phishing,1.0
"A new invoice is waiting for approval. Sign in at http://secure-portal-review.example-login.net/verify to review the document now. Failure to comply may result in account suspension. For your safety, verify immediately. Dear user, click here to continue.",phishing,phishing,1.0
The lab timetable has changed. Please see the updated calendar on the class page. No immediate action is needed. This message is for planning purposes only.,legitimate,legitimate,0.0
The IT team will perform routine maintenance on the document repository system this Friday. Expect a short service window. No immediate action is needed. This message is for planning purposes only.,legitimate,legitimate,0.05
The library has added new digital resources for Applied AI. Access them through the normal portal. This message is for planning purposes only. No immediate action is needed.,legitimate,legitimate,0.0
"A package could not be delivered. Confirm your delivery address and phone number at http://198.51.100.24/update. Do not ignore this final warning. This is urgent and action is required today. For your safety, verify immediately.",phishing,phishing,0.99
Student services will extend office hours this week. Visit the help desk if you need support. The information is also available in the course workspace. This message is for planning purposes only.,legitimate,legitimate,0.0
We detected unusual activity on your campus VPN account. Reset your password now at http://account-billing-check.example-auth.com/login. Failure to comply may result in account suspension. Do not ignore this final warning. Your account may be locked.,phishing,phishing,1.0
Your invoice #2448 has been processed. No action is required unless you have questions for finance. Contact the instructor if you have questions. This message is for planning purposes only.,legitimate,legitimate,0.0
The lab timetable has changed. Please see the updated calendar on the class page. No immediate action is needed.,legitimate,legitimate,0.0
Your mailbox account requires verification today. Please confirm your login details at http://paypa1-security.example.net/confirm to avoid interruption. Your account may be locked. Failure to comply may result in account suspension.,phishing,phishing,1.0
"Your university portal account requires verification today. Please confirm your login details at http://rb.gy/checkaccess to avoid interruption. Dear user, click here to continue. Your account may be locked. Failure to comply may result in account suspension.",phishing,phishing,1.0
"A new invoice is waiting for approval. Sign in at http://secure-portal-review.example-login.net/verify to review the document now. Failure to comply may result in account suspension. Dear user, click here to continue.",phishing,phishing,1.0
Your invoice #8099 has been processed. No action is required unless you have questions for finance. Contact the instructor if you have questions. The information is also available in the course workspace.,legitimate,legitimate,0.0
The portal migration is nearly complete. Accounts will remain available during the change window.,legitimate,legitimate,0.24
"Please review the payroll update form before 5 PM today and confirm your bank information at http://account-billing-check.example-auth.com/login. Dear user, click here to continue.",phishing,phishing,1.0
Your invoice #2574 has been processed. No action is required unless you have questions for finance. This message is for planning purposes only. Use the official portal as usual.,legitimate,legitimate,0.0
Student services will extend office hours this week. Visit the help desk if you need support. Use the official portal as usual. The information is also available in the course workspace.,legitimate,legitimate,0.0
