timestamp,filename,prediction,risk_score,model_probability,cue_count,header_anomaly_count,triggered_cues
2026-05-19T17:38:03Z,hard_phishing_polite.html,Suspicious / needs review,0.5537,0.6966,3,0,Urgency language detected; Action-oriented request detected; Generic greeting detected
2026-05-19T17:38:32Z,hard_legitimate_portal.html,Likely legitimate,0.2101,0.2431,2,0,Action-oriented request detected; Generic greeting detected
2026-05-28T15:15:23Z,hard_legitimate_portal.html,Suspicious / needs review,0.495,0.6621,2,0,Action-oriented request detected; Generic greeting detected
2026-05-28T15:15:27Z,hard_legitimate_portal.html,Suspicious / needs review,0.495,0.6621,2,0,Action-oriented request detected; Generic greeting detected
2026-05-28T15:15:30Z,hard_phishing_polite.html,Suspicious / needs review,0.6356,0.817,3,0,Urgency language detected; Action-oriented request detected; Generic greeting detected
2026-05-28T15:15:33Z,hard_legitimate_portal.html,Suspicious / needs review,0.495,0.6621,2,0,Action-oriented request detected; Generic greeting detected
2026-05-28T15:15:45Z,hard_phishing_polite.html,Suspicious / needs review,0.6356,0.817,3,0,Urgency language detected; Action-oriented request detected; Generic greeting detected
2026-05-28T15:15:53Z,legitimate_case_study.html,Likely legitimate,0.1493,0.1678,1,0,Urgency language detected
2026-05-28T15:16:27Z,hard_legitimate_portal.html,Likely legitimate,0.2536,0.307,2,0,Action-oriented request detected; Generic greeting detected
2026-05-28T15:16:38Z,hard_phishing_polite.html,Likely legitimate,0.2748,0.2865,3,0,Urgency language detected; Action-oriented request detected; Generic greeting detected
2026-05-28T15:17:04Z,legitimate_case_study.html,Likely legitimate,0.0802,0.0662,1,0,Urgency language detected
2026-05-29T19:08:15Z,hard_legitimate_portal.html,Likely legitimate,0.2101,0.2431,2,0,"Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-05-29T19:08:55Z,hard_legitimate_portal.html,Likely legitimate,0.0492,0.0065,2,0,"Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-05-29T19:09:16Z,hard_phishing_polite.html,Likely legitimate,0.09,0.0147,3,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-05-29T19:09:20Z,hard_phishing_polite.html,Likely legitimate,0.09,0.0147,3,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-05-29T19:09:25Z,hard_phishing_polite.html,Likely legitimate,0.09,0.0147,3,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-05-29T19:09:42Z,hard_phishing_polite.html,Suspicious / needs review,0.5537,0.6966,3,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-05-29T19:10:21Z,hard_phishing_polite.html,Likely legitimate,0.09,0.0147,3,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-05-29T19:20:16Z,hard_phishing_polite.html,Likely legitimate,0.09,0.0147,3,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-05-29T19:20:24Z,obvious_phishing_quota.html,Suspicious / needs review,0.4694,0.3986,5,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Threatening language detected (e.g., 'Account suspended'); Uses a generic greeting instead of your actual name; Contains an IP address link instead of a proper domain (major red flag)"
2026-05-29T19:22:40Z,obvious_phishing_quota.html,Likely phishing,0.8783,0.9999,5,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Threatening language detected (e.g., 'Account suspended'); Uses a generic greeting instead of your actual name; Contains an IP address link instead of a proper domain (major red flag)"
2026-06-02T13:54:39Z,hard_legitimate_portal.html,Likely legitimate,0.0492,0.0065,2,0,"Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-06-02T13:54:47Z,hard_phishing_polite.html,Likely legitimate,0.1124,0.0147,4,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name; Disguised as a cloud document share or e-signature request"
2026-06-02T13:54:51Z,legitimate_case_study.html,Likely legitimate,0.037,0.0027,1,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP')"
2026-06-02T13:54:55Z,legitimate_example.eml,Likely legitimate,0.0007,0.001,0,0,
2026-06-02T13:54:59Z,obvious_phishing_quota.html,Suspicious / needs review,0.4918,0.3986,6,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Threatening language detected (e.g., 'Account suspended'); Uses a generic greeting instead of your actual name; Contains an IP address link instead of a proper domain (major red flag); Warns about account suspension or unusual activity (common phishing scare tactic)"
2026-06-02T13:55:39Z,hard_phishing_polite.html,Likely legitimate,0.1124,0.0147,4,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name; Disguised as a cloud document share or e-signature request"
2026-06-02T13:55:59Z,phishing_reply_mismatch.eml,Likely phishing,0.9581,0.9996,7,2,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name; Contains a link to a known spoofed or suspicious domain; Warns about account suspension or unusual activity (common phishing scare tactic); Reply-To domain differs from From domain; Return-Path domain differs from From domain"
2026-06-02T13:56:02Z,phishing_payroll.docx,Likely phishing,0.8557,0.9996,5,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name; Contains a link to a known spoofed or suspicious domain; Contains financial lures like invoices, payments, or cryptocurrency"
2026-06-02T13:56:06Z,phishing_1.html,Likely legitimate,0.0829,0.0231,3,0,"Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Threatening language detected (e.g., 'Account suspended'); Warns about account suspension or unusual activity (common phishing scare tactic)"
2026-06-02T14:02:01Z,phishing_payroll.docx,Likely phishing,0.8557,0.9996,5,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name; Contains a link to a known spoofed or suspicious domain; Contains financial lures like invoices, payments, or cryptocurrency"
2026-06-02T14:02:53Z,phishing_payroll.docx,Likely phishing,0.8522,0.9945,5,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name; Contains a link to a known spoofed or suspicious domain; Contains financial lures like invoices, payments, or cryptocurrency"
2026-06-02T14:06:17Z,phishing_payroll.docx,Likely phishing,0.8298,0.9945,4,0,Urgency language detected; Action-oriented request detected; Generic greeting detected; Potential spoofed or suspicious domain detected
2026-06-02T14:07:03Z,phishing_example.eml,Likely phishing,0.9999,0.9998,8,3,Urgency language detected; Action-oriented request detected; Threat or punishment language detected; Generic greeting detected; Potential spoofed or suspicious domain detected; From address uses a free email provider; Reply-To domain differs from From domain; Return-Path domain differs from From domain
2026-06-02T14:07:24Z,obvious_phishing_quota.html,Likely phishing,0.8783,0.9999,5,0,Urgency language detected; Action-oriented request detected; Threat or punishment language detected; Generic greeting detected; IP-based URL detected
2026-06-02T14:07:55Z,obvious_phishing_quota.html,Suspicious / needs review,0.4918,0.3986,6,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Threatening language detected (e.g., 'Account suspended'); Uses a generic greeting instead of your actual name; Contains an IP address link instead of a proper domain (major red flag); Warns about account suspension or unusual activity (common phishing scare tactic)"
2026-06-02T14:12:03Z,obvious_phishing_quota.html,Likely phishing,0.8783,0.9999,5,0,Urgency language detected; Action-oriented request detected; Threat or punishment language detected; Generic greeting detected; IP-based URL detected
2026-06-02T14:12:35Z,obvious_phishing_quota.html,Likely phishing,0.9007,0.9999,6,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Threatening language detected (e.g., 'Account suspended'); Uses a generic greeting instead of your actual name; Contains an IP address link instead of a proper domain (major red flag); Warns about account suspension or unusual activity (common phishing scare tactic)"
2026-06-03T15:23:09Z,hard_phishing_polite.html,Likely phishing,0.7808,0.9976,4,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name; Disguised as a cloud document share or e-signature request"
2026-06-03T15:24:22Z,hard_phishing_polite.html,Likely legitimate,0.1124,0.0147,4,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name; Disguised as a cloud document share or e-signature request"
2026-06-03T15:28:50Z,hard_phishing_polite.html,Likely phishing,0.7808,0.9976,4,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name; Disguised as a cloud document share or e-signature request"
2026-06-04T16:22:00Z,hard_legitimate_portal.html,Suspicious / needs review,0.5956,0.81,2,0,"Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-06-04T16:22:34Z,hard_phishing_polite.html,Suspicious / needs review,0.694,0.87,4,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name; Disguised as a cloud document share or e-signature request"
2026-06-04T16:22:46Z,hard_legitimate_portal.html,Suspicious / needs review,0.5956,0.81,2,0,"Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-06-04T16:29:14Z,obvious_phishing_quota.html,Likely phishing,0.8668,0.95,6,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Threatening language detected (e.g., 'Account suspended'); Uses a generic greeting instead of your actual name; Contains an IP address link instead of a proper domain (major red flag); Warns about account suspension or unusual activity (common phishing scare tactic)"
2026-06-04T16:29:22Z,obvious_phishing_quota.html,Likely phishing,0.8668,0.95,6,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Threatening language detected (e.g., 'Account suspended'); Uses a generic greeting instead of your actual name; Contains an IP address link instead of a proper domain (major red flag); Warns about account suspension or unusual activity (common phishing scare tactic)"
2026-06-04T16:50:48Z,obvious_phishing_quota.html,Likely phishing,0.898,0.95,6,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Threatening language detected (e.g., 'Account suspended'); Uses a generic greeting instead of your actual name; Contains an IP address link instead of a proper domain (major red flag); Warns about account suspension or unusual activity (common phishing scare tactic)"
2026-06-04T16:51:22Z,hard_legitimate_portal.html,Suspicious / needs review,0.676,0.81,2,0,"Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Uses a generic greeting instead of your actual name"
2026-06-04T18:30:57Z,obvious_phishing_quota.html,Likely phishing,0.898,0.95,6,0,"High-pressure urgency language detected (e.g., 'Action required', 'ASAP'); Suspicious call-to-action detected (e.g., 'Click here', 'Verify'); Threatening language detected (e.g., 'Account suspended'); Uses a generic greeting instead of your actual name; Contains an IP address link instead of a proper domain (major red flag); Warns about account suspension or unusual activity (common phishing scare tactic)"
